user_id,first_day,latest_day,lifespan,client,membership_type,joined_at_least_1_hub
594132bd-7b3e-4ec4-b752-06ee1711d297,2017-10-11,2017-10-11,0,new_client,free,
533f08c8-e1ee-4925-96d9-9aeeba55b5ba,2017-10-11,2017-10-11,0,new_client,free,
0840ad75-5337-4193-8cf8-0348b126e697,2017-10-11,2017-10-11,0,web_client,free,
6e51c17f-4a81-4bb9-9f35-f0e2839da86e,2017-10-11,2017-10-11,0,new_client,free,True
f0dde747-b394-4a75-a74f-5e4adec18a28,2017-10-11,2017-10-11,0,new_client,free,
b068b2a7-0e48-4afc-9712-67057670a41e,2017-10-11,2017-10-11,0,new_client,free,
c66b2ee8-145c-4bc4-b447-aeed708c8fb9,2017-10-11,2017-10-11,0,new_client,free,
d71368d2-d57c-4c48-89ac-fb84bc97046b,2017-10-11,2017-10-11,0,new_client,free,True
3a90a15a-356b-4ef5-9303-1c1b04feca66,2017-10-11,2017-10-11,0,web_client,free,
90c63fb0-5766-4065-903a-2d6e1c98c21e,2017-10-11,2017-10-11,0,new_client,free,
22ec42c2-d6c7-4b54-9dbf-b92e673d1a27,2017-10-11,2017-10-11,0,web_client,free,True
b14d5eab-e9a0-474d-ac5f-1e9a5e808cc1,2017-10-11,2017-10-11,0,new_client,free,
c9d88f01-f244-489d-bd88-ef8266db91e4,2017-10-11,2017-10-11,0,new_client,free,
c625ca33-c052-44ca-962f-5ba3a3e0c0f8,2017-10-11,2017-10-11,0,new_client,free,
38697fde-9a75-4d16-b3a6-9600e0add35e,2017-10-11,2017-10-11,0,web_client,free,
ab0daf53-7e55-4190-847e-3d4bc4bdf02e,2017-10-11,2017-10-11,0,web_client,free,
e7766475-bfdd-41e1-9b78-8b140dae5fcc,2017-10-11,2017-10-11,0,new_client,free,
e396c023-310e-48f7-a21e-f01f7e53f63c,2017-10-11,2017-10-11,0,web_client,free,
63389af9-f06d-4696-9863-bfb686a7d7ef,2017-10-11,2017-10-11,0,new_client,free,
e5ef064c-7f94-4254-8aa1-88009798db3f,2017-10-11,2017-10-11,0,new_client,free,
10dcacf7-d991-4ab4-8fee-7ee580b7f3a0,2017-10-11,2017-10-11,0,web_client,free,
1875a2bb-0d1b-4fc7-b3d0-4ca52e5f16e9,2017-10-11,2017-10-11,0,new_client,free,True
5e9d277a-b428-409e-8f0f-91b8b1f67473,2017-10-11,2017-10-11,0,new_client,free,
d29a5c0d-c06e-49da-b147-d9e6a936f089,2017-10-11,2017-10-11,0,new_client,free,
a6cd3b05-9a97-4cc1-8a56-ee2313101560,2017-10-11,2017-10-11,0,new_client,free,
b43790f4-c159-4855-8415-d8f900da275c,2017-10-11,2017-10-11,0,web_client,free,
a454496d-3f86-4755-a955-c11f9b3548d5,2017-10-11,2017-10-11,0,new_client,free,
03a79fa5-014b-4646-a926-63f7324f0c51,2017-10-11,2017-10-11,0,web_client,free,True
92df04ee-9603-43a8-ada1-036104ba935a,2017-10-11,2017-10-12,1,web_client,free,
ee0f1832-3328-47fa-8bdd-e4ea09f5299f,2017-10-11,2017-10-13,2,new_client,free,
dc684448-1c4f-43d7-9be6-516a934c370a,2017-10-11,2017-10-13,2,new_client,free,
5c539fd5-3742-4c4e-a845-8615035e16b7,2017-10-11,2017-10-13,2,web_client,free,
1c4257af-5eb4-4fa2-ace0-c0ecb38f601f,2017-10-11,2017-10-13,2,new_client,free,True
33b36277-31fd-4c11-90d9-6bf33993b2f6,2017-10-11,2017-10-13,2,web_client,free,
398d184a-d5c3-40a3-9737-d1f5c2b23252,2017-10-11,2017-10-13,2,web_client,free,True
ae8dc59f-58b6-400a-b1e3-2610bdb0686e,2017-10-11,2017-10-13,2,new_client,free,
2a73ace9-d7a0-462f-9863-7cc5ca014aa7,2017-10-11,2017-10-14,3,web_client,free,
